user_id	item_sequence
117	5262 403 7423 8075 9743 5261
118	8979 9875 3745 7140 10427
119	749 5417 1868 1988 3843
120	2298 3158 4368 5305 9470 9545
121	113 6191 7329 7243 2338
122	2059 6450 6682 7474 7882 8107 9171 9576 10709 11321
123	5808 1585 4017 10502 3575 8789 10497 2318
124	253 407 7301 8019 9337 5132 7651 7648 5527 7116 8242 11185 4739 7118 3272 5193 5962 7121 9777 11431 7745 8480 1335 4467 5898 4947 6318
125	9915 10055 10673 6432 11612
126	3181 3913 5767 1285 6353 1624 9882
127	3352 4907 6667 7650 7651
128	1248 5673 4138 396 10586
129	261 687 1164 3540 3830
130	5437 8255 6419 11255 3221 4418
131	5059 5524 8182 382 5440 4098 10868 3591 3403 8246 5581 1349 11380 1330
132	3223 5993 7369 9989 10118
133	4819 11650 12019 12065 12064 12057 12058 11616 12078
134	4005 267 1778 6959 8630
135	3152 4036 5577 6236 7531 9118 9368
136	848 2153 2647 4229 6320 7153
137	1583 5437 707 2555 5959
138	2111 10529 10004 10751 10752 10810 9977 10916 9159 11373 11767 11930
139	8768 4512 7663 140 7382
140	6012 4430 234 6506 9072
141	111 3857 5795 7044 2174 10500 11594
142	6733 2694 3130 1853 361 6809 8872
143	5055 5527 3219 4213 818
144	9946 7617 2214 10615 8755 798
145	555 8279 8850 9711 11146
146	54 3462 3540 4007 6397 9553 10610
147	8530 2298 5359 8076 10784 8480 8482 1520 7519 7648 11060 7556 8607 7453
148	9776 5352 8474 7552 9387 3342 443 12062
149	2851 2174 2378 6852 6789
150	6401 8501 2002 8483 8495
151	6449 6457 6471 6639 7316
152	7674 8729 8643 10695 10568 10692 4566 10694 11782
153	11304 11938 12019 11227 11971 12053 11790 12024 12065 12079 12087
154	9998 10651 9449 8135 438
155	7000 3962 5612 12 3251 3247 7873 389 5770
156	369 403 5101 5262 6401 6412 9099 10336
157	2247 4743 5050 6310 7896 7897 8462 11544
158	4872 8043 3408 8783 3872 9903
159	1520 6003 2475 7736 7841 8520 2602 8936 5491 11829 11618
160	3298 4464 4747 5249 8242 4732 4734 7385 4646 8492 2583
161	6484 7907 6389 8120 10220
162	172 7643 1206 7139 7144 10729 8747 4184
163	6471 7482 4184 6482 6525
164	7285 7424 8242 8248 4467 8249 8478
165	3322 2036 2488 5175 5641 6096 5174
166	2769 1984 7999 7006 8506 10148
167	5149 8276 2283 3596 4447 5048 148
168	2075 3749 693 1452 2368
169	3207 3424 5655 8029 7720 10781
170	2481 9302 6761 10745 9826
171	8417 11126 11418 9368 11554
172	574 4208 7531 6449 6457 6613 7316 7535 9365 6485 5640 6471 6488 7635 8019 8356
173	818 8450 7755 1788 8490
174	1789 5630 6902 7139 10018 8042 8776 8967 229
175	1038 5700 7164 8832 805 1946 8831 2398 1595 222 1968 2406 7163 792 1026 1491 2647 6651 6443
176	1412 389 3250 4379 3249 5381 7064 9171 9584 1858
177	2113 3129 2645 3432 11731
178	5279 3767 6612 8936 10213
179	6811 7881 8017 10026 7890
180	9682 8242 9119 5181 11531
181	6430 6888 3722 5901 6715 10783
182	3566 4948 6352 6434 5075
183	3739 5245 3565 4175 11255
184	3057 1602 2374 4586 4502 6434 10020 5336 6413
185	4270 8643 10559 10560 3703 8555 8806 5150
186	1981 1980 4389 2078 2079 9477 9482 9484
187	347 2082 3378 3386 3454 7263 9644 10108
188	3110 870 3109 4202 2856 4168 1111 1540
189	6585 8263 1560 4783 6500
190	4386 6479 7612 8706 7301
191	11685 11704 1247 11938 12019 11873 11948 11975 11839 12053 12056 12064 12065 12057 12058
192	4201 2959 91 9232 10975 2519
193	6002 6259 9455 10702 3703
194	267 4184 5973 7702 6976 381 9560 2480 3363 4267 4329 8479 8492 10000 8478 7428 11230
195	417 418 8657 9585 9590 2615 10567 10689 3714 5292 10572 10372 11051 11183 11782 11896 11930
196	3636 3637 787 4049 4678 6432 8970 9265 9456 9594 9455 9589 10700 10696 10697 8555 3713 10569 10570 10537 10571 10698 10807 10695 10864 8560 8559 5626 10708 10163 11817 11514 8978 11775 11713 11235 11340
197	6804 8589 9529 7342 10288
198	4504 3274 364 4866 11756
199	10283 7140 9524 5472 880 4293
200	2174 5191 3841 860 4004
201	4072 2479 9171 7852 10361
202	1364 4367 7829 3628 4175 9239
203	1432 102 11136 382 2408 11225
204	4002 872 1693 1828 2155 2734 3070 3549 4072 4207 4540 5925 6071 8334 2214 907 3961 9120 2456 4665 4924 7986
205	591 639 643 1253 2647 2903 3039 3041 4593 5790 8239 971 5756 2721 4010 6679 6532 7537 311 8054 5981 849 9581 486 5598 2851
206	7915 8969 9466 9467 2615 10537 9082 10505 10571 10809 10751 4484 10373 11803 11930 11535
207	7531 9711 10162 10491 7214
208	2138 3906 8967 9109 10579
209	10445 9261 8683 10077 11066
210	2427 2881 6127 6921 7008
211	248 3216 3128 7753 10975
212	3495 6877 4036 6883 7652 8089 8632 178 5097 7531 5962 8481
213	460 400 3389 5072 11063
214	8684 520 3270 3423 8517
215	110 578 5221 1671 7373 6799 7240 4084 5030 2549 473 5199 7805 1480 2859 4542 9164 10366 3566 3573 4253 22 3571 6896 4101 9703 51 4543
216	4972 7468 1873 3389 5106 5398 6117
217	5287 8589 8815 9682 10513 5482 6517 5178 7727 8736 5181 10787
218	3908 5063 9615 2036 2652 3955 3957 4069 5097
219	6716 10135 10459 10628 10854
220	1685 1692 4711 5924 6432 11480
221	1821 10999 3220 7411 10608 10487 718
222	8648 8347 5697 8070 11310
223	1115 3350 4969 5022 5661 7453 7468
224	8280 5097 7214 7531 8316 8632 9908 9483 10058 11248 9034
225	2306 2308 3172 3991 9196 9266 8591
226	7701 7715 10011 4656 4658 4659 6159 9188
227	1437 2948 3548 6726 9602
228	2029 6605 7043 7350 6726 3441 5094 7764
229	944 9586 2243 2287 6649 4229
230	1153 3658 10100 8089 2593 10402 8258 7590 4992 11225 576 5411 5750
231	4717 273 3124 3776 2934 5478 5683 8549 8550 9393 4762 11424 97 8508
232	1912 450 962 2073 2359 998 11143 454
233	6108 1155 2876 1564 7262
234	389 1330 9122 10290 5550 11075 5808
235	2218 8026 8714 8823 9368 10587 10801 11214
236	8516 744 1351 5068 5030 7806 9121 9347 120
237	1644 3363 4320 79 4155 5492
238	515 3072 4663 5023 6648 8736
239	423 3376 1907 4570 2043 8197 1646 9209 3253 7118
240	10133 9766 2390 5712 7531 3495 9365 10162 8135
241	226 7453 2028 9096 9183
242	3338 3157 6132 6387 2938 8729 5725
243	2365 9758 2269 7860 10673
244	8743 5557 9217 7801 9743 2923 2376 1520
245	138 134 2504 5138 540
246	4652 6259 9581 5782 10199 10384 8807 9088 10751 10807 10691 10752 9949 9995 1942 10375 10904 11663 11618 11930 11534 12015
247	8736 10418 10422 10424 9424
248	2844 3474 3716 7853 254 2203 6654
249	5485 2874 1119 1015 10709 4907 1311 6657
250	113 2799 4665 8312 11157
251	382 1075 1084 783 2787 2948
252	1401 2031 717 1510 7700 2961
253	5415 213 1928 4988 8881 8880 181 1934
254	3678 1261 6764 8729 10317 1134 10774
255	1338 6014 6712 7269 7270 3416 330 2554 4216 2647 336
256	5346 5767 8560 9082 1134 10695 11048 11057 11902
257	4000 4451 4915 6322 7240 7389 9125 9138 9579 389 5266 5915 6401 8568 9337 11431 8711
258	3207 2111 10558 10559 10560 9159 10904 11372 11602 11799 11698 11803 11637 11901 11804 11985
259	2810 9966 10913 6037 4555 10440
260	798 6646 1774 6136 1519 5415 4503 5485 8143 4466 6041
261	4525 4520 8242 4464 4793 10995
262	6440 4186 2214 10203 4500
263	3588 5787 5789 5793 1809
264	594 2894 2980 3035 5012 831 2433
265	2869 3325 4020 7977 9304 9165 267
266	9217 9218 1025 1412 9304 2917
267	2082 901 7098 11084 8023 8660
268	10568 8559 3713 10570 10704 10772 10698 10569 5292 10572 10809 10811 10566 10695 10788 10814 10789 10479 10896 10163 10895 10690 5089 5090 5091 10372 10373 11395 6640 3274 7531 10631 8089 8558 9368 9856 11415 7349 9533 3336 9498 10191 10815 11327 4542 11714 11765 11777 11235 11779
269	222 4065 10982 1616 6760 899
270	3312 566 2181 5988 2638 9501
271	9621 9989 10131 10925 9368 10099 11214
272	7994 2332 4637 851 3628 5761 7178 4357 5420 2102 334
273	1242 11888 11818 11424 11738 11788 11956 11987 11993 11394 11989 12011 12029 12046 12001 12050 12035 11742 11880 11918 12063 11421 11872 12013 11603 12091 12092 12093 12074 12068
274	7727 8743 3275 6232 6766 9534
275	5109 3298 8437 8826 9561
276	2474 6263 5691 1234 5690 490
277	7466 4365 3770 3362 3772 11059
278	2948 2552 2787 6160 4193 11650
279	1473 7700 386 389 6929 9470 2502 10288 8197
280	2069 5048 10816 4085 9636 8156
281	5510 1622 6259 9594 2111 10704 9656 11622
282	5770 5192 8781 5220 663 9788 2873 3718
283	1674 4036 6915 3274 8957 8227 2292
284	81 3973 3992 4335 5192 6307 8597
285	132 5151 9083 10480 10786 164 1520 4983 5196 11080 5172 9321 133 2986 6873 9121
286	1155 1936 7981 3457 5586
287	10441 10799 11424 11687 11812 11927 11603 11394 11989 11738 11962 12063 11642 11935 11987 12031 12042 12043 12044 12034 12088 11894 11918 12013 11688 11872 11996 12071 12073 11742 11957 12014 12050 11832 11995 12080 11847 11853 11999 12091 12092 12093 11259 11601 11659 11919 11973
288	10198 7809 7976 10945 10105 8195
289	7108 6618 5710 6192 8591
290	4152 4148 946 960 7295 2500 6620 6794 10775 10773 11810 11489 11711 2174 4898 11261
291	3248 3657 4049 4058 4040 5474 4651 8970 3888 8729 9459 10694 10696 10697 10699 10569 10695 10668 10691 10731
292	5151 7612 7316 9078 6483 6259 7273 7728 6449 9873 70 8737 4184
293	8700 5324 5325 5962 9487 5963 9723 10316 4525 5334 7993 11450
294	5250 7341 1426 10409 2683 7344 4719 8877 7424 1258 4520 6731 8801 11594
295	663 2396 3229 5378 6797 4610 7294
296	1674 4663 8623 1107 3275
297	1514 3139 6532 10123 2710 5426 4930
298	443 7791 9458 9583 9456 9466 9467 9457 10116 10317 687 2618 10701 10559 10693 4566 10558 8555 10700 10702 8559 10537 8560 10807 10983 10668 10691 10751 10752 10163 6388 5092 11056 10557 11768 11765 11714 11235 4463 11911 11898 11709 11711 12038 11598
299	1455 5360 7305 2707 1301 9048 240 7294 286 3493 11225 8874 9494
300	3629 237 6857 17 11678 5266 6104 9667
301	8420 3050 2174 3681 8835 4081 6976
302	9040 9043 5318 8898 9999 11153 11214
303	4907 8264 7289 8566 8963 10603 2213 2647 3590 4747 5164 5518 7988 8255 8690 8740 9804 10984 11496 11722
304	3667 4934 2366 113 6518 5413 5579 4372
305	508 4386 1999 4619 6251
306	4705 9271 3246 8803 9079 3241 2006
307	1603 1727 2168 5532 2174 10435
308	1179 2929 5168 4916 9865
309	6376 6993 7169 7640 7723 8989 10283 10625 10634 8733
310	1449 3335 4652 5967 8228
311	1510 1168 5539 1305 176 2043 3954 4571 841 1027 5840 2377 3258 6432 5428 6300 7911 7074 9591 10401 2111 10299 10163 10697 10281 3855 11050 11054 11806
312	3948 5966 5725 3835 5856 678 10686
313	188 2283 6801 10369 10829
314	4630 8285 10286 4778 5842 3996 8428 2831 5978 7340 11571
315	3221 5526 5050 6364 2075 10117
316	2334 7580 3122 11000 9738 1825 2928 7608
317	9849 9989 9290 8339 10659
318	2403 5438 2412 9182 3492 8273 10747 3129
319	4152 5437 6959 7651 8026 9476 9528
320	7674 10690 8386 10373 10904 5150 9995 10375 10557 11229
321	966 4605 6298 10113 9164
322	4240 3811 3874 6726 4512 9361 9930 11275
323	851 10290 10776 11052 11514 4312 9520
324	3456 7435 2485 1778 4363 1287 8448 590 11001 5781
325	5714 2512 8582 2200 6137
326	1822 8036 6209 7993 962
327	3817 3560 683 4652 4344 4084 5232 3840 10302 3842 1740 4000
328	8720 3134 8823 9925 10051 9529
329	323 1301 6118 6647 8806 3176 8274
330	6114 9586 10567 3700 10707 11803
331	7531 8123 9959 10165 10433 10525
332	10847 9440 8060 10157 10617
333	9703 10839 7305 8180 9604 656 11046 426 535 6414 7418 7856 8653 9837 1685 7314 9440 2424 3357 10654 11036
334	5761 10610 3424 11574 3418 5466 6677
335	2909 4796 5033 5824 9818 6733 9121 8435 166 184 333 815 1591 2986 8066 8646 9529 10137 5813 9894
336	8135 8968 10162 8149 8800 10099 9989
337	3389 4036 732 1618 2472 4365
338	3709 717 1489 6861 6864 234
339	2811 6245 8420 9071 7408 9404 10396 11234
340	1348 5039 6401 8495 7961 624 8437
341	839 5187 5579 9089 9140 11517
342	2297 3961 10827 9122 10126 10870 10491 10526 10829 3861 4134
343	542 5733 650 2376 9210 2128 10495 5505 1862 11357 11437 5449 3243 8038 8813 334 11787 10392
344	2910 82 7205 2862 4648 92 2997
345	861 2109 3398 5199 9011
346	403 3355 3631 4110 5669 5403 8420
347	1245 1936 6683 3974 9654
348	3657 2113 3347 3878 3770 4152 4151 4039 8729 2615 11930 11535
349	9585 9590 9549 9591 8726 10529 11829
350	4598 4174 2064 5522 6401
351	9766 11550 11131 11162 10099 11575 10876 11250 11251 10656
352	97 6017 7711 1197 686 4167
353	2647 2921 5928 6146 9675 10087
354	4870 4188 6580 2171 3551 1189
355	4206 5243 5527 5962 6288 8540 8600 7436
356	319 3473 591 1228 3404 3407 1227
357	234 5522 5808 4074 6533 11160 11547 11868 12064 12065
358	3040 479 2979 3969 2312
359	2860 6375 3374 6434 1801 8996 8326 9382 8516 9915
360	8566 5415 7632 9735 11113 11571
361	9387 9393 7553 9244 10181
362	2341 4627 10392 283 636
363	1348 344 8200 9422 110 8261 11661
364	8485 4734 8490 2882 3993 8477 8478 9337 2002 4616 4464 4739 5333 7519 8802
365	8597 9099 9810 11895 5177 5411 6889 11797
366	6072 2317 6387 4165 7978 10494 11159
367	4102 3030 7848 844 9508 7991 8060 11469 8068 8070
368	3466 1475 4423 11243 10290
369	148 784 798 2562 2986 3324
370	9132 5823 3602 148 3953 5027 8266 6996
371	2627 6973 9355 11380 11151 10925 11182
372	8554 916 10567 10691 10756
373	355 4578 2044 6353 10356 8312 2345 4525 7981
374	261 472 2986 4619 6823
375	5993 2113 10272 5663 6836 4525
376	1907 4001 6333 7935 180
377	594 8835 670 814 2591
378	6562 6978 5165 2512 8110 6049 9254 9431 10578 10323 1120 11449 8181 11267 11271 2994 11260 1047 2403
379	1933 3386 2164 2170 6326
380	2508 4861 5288 5916 7769 4470
381	5272 1874 2026 3104 4957 4394
382	5522 7804 7295 134 7374 7130 1281 1822 2992 5625 9584 3683 7157 4088 6766 2662 10286 11268
383	399 5325 7650 7651 8199 8377 4948
384	638 1226 9206 11155 3526 11661
385	4575 6310 6626 11449 8628
386	3011 5491 7166 5712 7745 8815
387	6370 10575 8416 7223 11249
388	4515 3129 1877 5965 2057 4116 1213
389	148 488 2604 2605 8711 6934
390	7074 8504 2318 5525 2419
391	4246 1255 5411 5563 9835
392	7130 7916 1489 8782 2013
393	3555 3637 294 5389 1648 1727 4270 5819 6432 5357 7093 1163 7802 7212 10558 10561 3753 6041 7622 7238 8535 5157 11352 4511 480 11790 12055
394	3248 4675 5767 6432 9549 2617 2618 2619 9249 9250 9252 2616 4438 4566 8555 10561 10564 10565 10568 10700 10701 10702 2661 10537 10569 10571 10572 10163 10690 5089 5091 5092 10372 6388 10894 10897 10898 11352 11714 11707
395	3342 3842 4304 6726 4511 7418 4539
396	6434 10401 1901 10479 11300 11728
397	1206 4340 6887 2283 6381 5144
398	4136 2662 3477 5754 4036
399	3389 13 2647 2986 5132 5521 6804 7283
400	3516 3517 3521 714 7154 8205 1706 7089 8410 941 1708
401	5342 6160 2668 5576 7285 7778
402	3405 849 3408 10650 11645 464 495
403	4370 6145 8856 1281 2635 3073 4760 6538 1576 6005 853
404	1608 1689 1827 2076 2148 2647 3767 7550
405	446 848 2243 6840 10549 2647 5057 2185 3525 10010
406	7635 6461 8192 4476 8330 1206 8825
407	11704 11685 11839 11948 11975 12024
408	497 1520 1677 4046 1108 7384
409	3361 1558 2576 6381 5704 1379 3615 3663 6055 6025 6027 5372 753 8044 6011 8475 8970 7751 3059
410	5043 5779 7256 3318 7726 11305
411	2170 7153 267 3389 4809 8096 7146
412	3116 2318 4323 6853 8715 4459 4743 9837 8301 1366 8568
413	8183 2469 1754 3909 10491 5054 11398
414	5126 9766 5711 7572 11554 6815
415	9762 8123 158 5324 7522 7652 7812 9441 5044 3978 7865 9685
416	6434 3072 4136 5308 6019 6605
417	2066 2352 5512 6825 3976 10468 2621 7809 6988 10361 4466
418	2627 6288 8182 1516 9559
419	2093 10295 5243 9572 9621 10327
420	240 407 1585 5683 991 4161 5824 4609
421	6189 1761 8207 8218 8224 10961 10967 10968 6865 3430 8210 2359 11075 11276 11227
422	6021 4263 183 189 267
423	2211 2231 6109 2215 3741 4972 2681 2266 10498 9117
424	2986 8123 8823 9988 10516 11028 7531 9368 3495 628 11508
425	9718 5054 7451 8273 9064 9099 10928
426	7531 8043 3771 9196 10392 8579 10198 11203
427	12 139 6244 9404 9612 9935 7672 6551 6775 8454 4904
428	2897 7821 8123 10151 4663
429	5187 6988 1161 5625 1954 5082
430	3389 4809 189 4678 4709 10347
431	8189 1084 4616 8801 10914 7185
432	583 3628 10257 10653 8910 11307 2486 3221 10590
433	5332 7314 7604 7854 8400 538 3578 7066 4575 5302 5522 11388 9442
434	9581 9588 9583 9586 3703
435	7793 2699 3077 4702 8268
436	2175 4177 4923 266 11236
437	980 1763 6667 10161 10681
438	1805 10287 6726 1178 6290 3251
439	8588 2270 6733 3130 8630 108
440	1506 1693 4787 10634 11256
441	8080 2502 8299 5864 8643
442	3236 3233 5349 10811 10644
443	980 1929 3389 4805 1028 3842 809 146 712 1259 1093 3524 5083 5044 4802 3604 4890 7079 5134 109 3583 6601 4646 5389 3974 3577 7599
444	1898 3993 7223 7848 9368 10434 10617
445	3877 7667 9265 10813 3714 8386 9084 11568
446	9908 7129 7531 2655 9368 10329
447	6062 3130 6499 10608 10151 10312
448	8206 8279 8280 9204 10792 11349 8634 8506 10739
449	655 1364 2702 4372 4606 6972 7699 7700 7716 9149 9188 9776
450	3783 3462 6905 297 3004
451	5032 7696 6491 5429 4018 6716 8748 3434 3826 70
452	1879 4857 5243 5636 6287 7015 7129 8107 8517 8598 8600 8634 8705 8706 8743
453	7445 6551 11242 4885 4951 5802 1452
454	1785 2647 695 4832 7411 11580 6161
455	4934 1306 5799 9029 1191
456	6009 6019 5288 5186 6288 8633
457	726 3478 5630 6334 4938
458	6931 5527 5645 7852 1849 2283 9955
459	3446 5195 7643 9927 11024 9225
460	1823 3903 11106 8165 9076
461	8184 8847 2665 407 1475 10394
462	267 472 1199 3275 4667 54 9322
463	2243 3389 5106 9439 10090 5147 3119 4017 5094
464	538 4965 2232 1856 5476
465	8109 7970 8308 1348 2276 2952 8803 7999 10046
466	4336 7976 2647 7912 7958 12097
467	3964 6777 8342 2870 4329 7781 3019 4801
468	3976 4414 5087 7895 9990 10801
469	1388 4030 3667 3982 6589 4870 6588 9207 11836
470	9108 6236 8443 9852 10928
471	6433 10087 3630 4052 3238 2346
472	6471 6615 9846 6472 6476 6483 6770 6807 7316 7478 8714 8860 9624 9738 11311 3940 6473 6771 7609 7612 7615 8042 10133 6398 10131
473	2406 7117 7838 5711 765 7116
474	5962 9370 10608 8736 10415
475	2016 1531 10030 19 11974 166
476	4143 11331 3317 6324 6812 9120
477	2396 5729 5526 1110 4962 5507
478	342 2021 2840 9280 503 6793 7976
479	1314 2888 4704 5048 6859 5415 3529 10202 9789 11221 9141
480	2161 4910 5325 7993 4386
481	4184 6096 9018 9118 10110
482	5767 7074 916 10384 11801
483	3002 3813 7113 9162 2698 2689 4041 9107 10290 11219
484	1673 4498 4578 9339 11639
485	4151 4040 4650 3700 10751
486	1684 7274 5432 4804 1306
487	3130 3616 5527 10057 4036 7652 7988 9368 10395 10863
488	58 1943 6235 2883 4078
489	3357 5655 9094 9210 4747
490	4267 305 6191 1233 1837 5183 2940 1052 1053 7339 2848 2997 7412 446 1124 5372 1473 6997 7606 5824 10950 3414 7022 3020 6683 1006
491	6570 107 1939 7913 10294
492	11748 11851 11916 8635 11827
493	5330 7925 8882 2502 5251 5824
494	5324 5329 5333 7590 7649 5325 9561 3129 303 5506 11080
495	3925 2719 5825 7506 2512 2596 2234 7746 9471 10291 10087 9122 4107 4764 2099 5023
496	7848 8123 8135 11261 12016 12017 12018 9816 12020
497	165 7780 1040 4383 7090 1589 6100 9663 9212 11086 6010 10056
498	10063 9472 9225 8815 9119 11569
499	330 428 7056 2108 441 148 4255 4599 6268 4763 6538 1221 6270
500	9183 8586 9544 7468 9370 4575 9503 9504
501	290 5292 148 1901 4354 8750
502	4118 4030 5677 137 654 2757 6749 7469
503	2355 3435 3757 3809 4751 4943 334 540 727 759 899 1727 1941 1978 2450 3648 3772 3849 4309 5210 5241 5933 6101 6257 311 2112 1061 1651 1652 9141 259 480 1422 4228 4285 5218 5219 6416 8630 6925 16 9324 186 2159 3275 6678 6997 8825 214 3858
504	10360 438 8792 1836 10036
505	6726 2010 2005 9782 11136
506	2345 1290 2260 5747 10557 2325 165 9191 8349
